# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
3.520000e-01	2.626750e-01	nan	nan
3.530000e-01	2.063712e-01	nan	nan
3.540000e-01	1.549614e-01	nan	nan
3.550000e-01	1.089182e-01	nan	nan
3.560000e-01	6.865857e-02	nan	nan
3.570000e-01	3.454009e-02	nan	nan
3.580000e-01	6.857451e-03	nan	nan
3.590000e-01	-1.416001e-02	nan	nan
3.600000e-01	-2.835029e-02	nan	nan
3.610000e-01	-3.562006e-02	nan	nan
3.620000e-01	-3.594524e-02	nan	nan
3.630000e-01	-2.937093e-02	nan	nan
3.640000e-01	-1.601066e-02	nan	nan
3.650000e-01	3.955154e-03	nan	nan
3.660000e-01	3.028136e-02	nan	nan
3.670000e-01	6.266090e-02	nan	nan
3.680000e-01	1.007283e-01	nan	nan
3.690000e-01	1.440638e-01	nan	nan
3.700000e-01	1.921978e-01	nan	nan
3.710000e-01	2.446161e-01	nan	nan
3.720000e-01	3.007656e-01	nan	nan
3.730000e-01	3.600599e-01	nan	nan
3.740000e-01	4.218856e-01	nan	nan
3.750000e-01	4.856088e-01	nan	nan
3.760000e-01	5.505816e-01	nan	nan
3.770000e-01	6.161487e-01	nan	nan
3.780000e-01	6.816540e-01	nan	nan
3.790000e-01	7.464475e-01	nan	nan
3.800000e-01	8.098912e-01	nan	nan
3.810000e-01	8.713657e-01	nan	nan
3.820000e-01	9.302758e-01	nan	nan
3.830000e-01	9.860568e-01	nan	nan
3.840000e-01	1.038179e+00	nan	nan
3.850000e-01	1.086154e+00	nan	nan
3.860000e-01	1.129536e+00	nan	nan
3.870000e-01	1.167929e+00	nan	nan
3.880000e-01	1.200991e+00	nan	nan
3.890000e-01	1.228432e+00	nan	nan
3.900000e-01	1.250020e+00	nan	nan
3.910000e-01	1.265585e+00	nan	nan
3.920000e-01	1.275013e+00	nan	nan
3.930000e-01	1.278254e+00	nan	nan
3.940000e-01	1.275320e+00	nan	nan
3.950000e-01	1.266280e+00	nan	nan
3.960000e-01	1.251266e+00	nan	nan
3.970000e-01	1.230466e+00	nan	nan
3.980000e-01	1.204127e+00	nan	nan
3.990000e-01	1.172544e+00	nan	nan
4.000000e-01	1.136068e+00	nan	nan
4.010000e-01	1.095092e+00	nan	nan
4.020000e-01	1.050055e+00	nan	nan
4.030000e-01	1.001430e+00	nan	nan
4.040000e-01	9.497263e-01	nan	nan
4.050000e-01	8.954806e-01	nan	nan
4.060000e-01	8.392514e-01	nan	nan
4.070000e-01	7.816145e-01	nan	nan
4.080000e-01	7.231567e-01	nan	nan
4.090000e-01	6.644697e-01	nan	nan
4.100000e-01	6.061445e-01	nan	nan
4.110000e-01	5.487648e-01	nan	nan
4.120000e-01	4.929018e-01	nan	nan
4.130000e-01	4.391077e-01	nan	nan
4.140000e-01	3.879107e-01	nan	nan
4.150000e-01	3.398094e-01	nan	nan
4.160000e-01	2.952679e-01	nan	nan
4.170000e-01	2.547113e-01	nan	nan
4.180000e-01	2.185217e-01	nan	nan
4.190000e-01	1.870340e-01	nan	nan
4.200000e-01	1.605337e-01	nan	nan
4.210000e-01	1.392533e-01	nan	nan
4.220000e-01	1.233709e-01	nan	nan
4.230000e-01	1.130085e-01	nan	nan
4.240000e-01	1.082312e-01	nan	nan
4.250000e-01	1.090468e-01	nan	nan
4.260000e-01	1.154061e-01	nan	nan
4.270000e-01	1.272038e-01	nan	nan
4.280000e-01	1.442798e-01	nan	nan
4.290000e-01	1.664212e-01	nan	nan
4.300000e-01	1.933648e-01	nan	nan
4.310000e-01	2.248000e-01	nan	nan
